"","Education","MaritalStatus","HHIncome2"
"1954","High School","NeverMarried","75000-99999"
"1955","High School","Married","more 99999"
"1956","Some College","Married","45000-54999"
"1957","Some College","Married","<20000"
"1958","9 - 11th Grade","Married","75000-99999"
"1959","8th Grade","NeverMarried","35000-44999"
"1960","College Grad","Widowed","35000-44999"
"1961","College Grad","Married","more 99999"
"1962","College Grad","Married","more 99999"
"1963","High School","Married","<20000"
"1964","High School","Married","<20000"
"1965","College Grad","Married","more 99999"
"1966","Some College","Married","25000-34999"
"1967","Some College","NeverMarried","45000-54999"
"1968","Some College","Married","75000-99999"
"1969","Some College","Married","75000-99999"
"1970","Some College","Married","75000-99999"
"1971","College Grad","Married","more 99999"
"1972","College Grad","Married","<20000"
"1973","8th Grade","Married","25000-34999"
"1974","College Grad","Married","more 99999"
"1975","Some College","Married","75000-99999"
"1976","Some College","Divorced","35000-44999"
"1977","Some College","Divorced","35000-44999"
"1978","Some College","Divorced","35000-44999"
"1979","Some College","Divorced","65000-74999"
"1980","College Grad","NeverMarried","25000-34999"
"1981","College Grad","NeverMarried","25000-34999"
"1982","College Grad","Married","75000-99999"
"1983","College Grad","Married","75000-99999"
"1984","Some College","Divorced","25000-34999"
"1985","Some College","Divorced","25000-34999"
"1986","Some College","NeverMarried","more 99999"
"1987","Some College","NeverMarried","more 99999"
"1988","Some College","NeverMarried","more 99999"
"1989","Some College","NeverMarried","more 99999"
"1990","Some College","NeverMarried","35000-44999"
"1991","Some College","Married","more 99999"
"1992","Some College","Married","more 99999"
"1993","9 - 11th Grade","Divorced","<20000"
"1994","9 - 11th Grade","Divorced","<20000"
"1995","Some College","LivePartner","35000-44999"
"1996","Some College","LivePartner","35000-44999"
"1997","Some College","LivePartner","35000-44999"
"1998","High School","Widowed","more 99999"
"1999","9 - 11th Grade","LivePartner","45000-54999"
"2000","College Grad","Married","more 99999"
"2001","College Grad","Married","more 99999"
"2002","College Grad","Divorced","75000-99999"
"2003","College Grad","Divorced","75000-99999"
"2004","College Grad","Married","75000-99999"
"2005","College Grad","NeverMarried","20000-24999"
"2006","8th Grade","Divorced","35000-44999"
"2007","Some College","Married","55000-64999"
"2008","8th Grade","Married","<20000"
"2009","Some College","Divorced","more 99999"
"2010","Some College","Married","65000-74999"
"2011","Some College","Married","more 99999"
"2012","Some College","Married","more 99999"
"2013","Some College","Married","more 99999"
"2014","Some College","Married","more 99999"
"2015","8th Grade","Widowed","35000-44999"
"2016","High School","LivePartner","20000-24999"
"2017","College Grad","Separated","55000-64999"
"2018","Some College","Married","65000-74999"
"2019","Some College","Married","65000-74999"
"2020","College Grad","Married","75000-99999"
"2021","College Grad","Married","75000-99999"
"2022","College Grad","Married","35000-44999"
"2023","College Grad","Married","more 99999"
"2024","College Grad","Married","more 99999"
"2025","Some College","NeverMarried","<20000"
"2026","Some College","NeverMarried","<20000"
"2027","9 - 11th Grade","Married","75000-99999"
"2028","College Grad","NeverMarried","25000-34999"
"2029","High School","Married","25000-34999"
"2030","College Grad","LivePartner","more 99999"
"2031","Some College","Married","<20000"
"2032","High School","Married","35000-44999"
"2033","Some College","Married","55000-64999"
"2034","Some College","Married","55000-64999"
"2035","Some College","Married","55000-64999"
"2036","Some College","Married","55000-64999"
"2037","College Grad","NeverMarried","<20000"
"2038","Some College","NeverMarried","more 99999"
"2039","Some College","NeverMarried","more 99999"
"2040","Some College","NeverMarried","more 99999"
"2041","High School","NeverMarried","<20000"
"2042","8th Grade","NeverMarried","25000-34999"
"2043","College Grad","Married","20000-24999"
"2044","Some College","Married","35000-44999"
"2045","Some College","Married","75000-99999"
"2046","High School","Married","more 99999"
"2047","Some College","Married","75000-99999"
"2048","Some College","Married","75000-99999"
"2049","8th Grade","Married","25000-34999"
"2050","9 - 11th Grade","Widowed","55000-64999"
"2051","Some College","Widowed","<20000"
"2052","9 - 11th Grade","Married","more 99999"
"2053","9 - 11th Grade","Married","more 99999"
"2054","Some College","Married","45000-54999"
"2055","Some College","Married","45000-54999"
"2056","High School","Married","more 99999"
"2057","College Grad","Married","more 99999"
"2058","8th Grade","Widowed","25000-34999"
"2059","8th Grade","Widowed","75000-99999"
"2060","8th Grade","Widowed","75000-99999"
"2061","8th Grade","Married","20000-24999"
"2062","9 - 11th Grade","Married","more 99999"
"2063","9 - 11th Grade","Married","more 99999"
"2064","9 - 11th Grade","Married","more 99999"
"2065","High School","Married","25000-34999"
"2066","College Grad","Married","more 99999"
"2067","College Grad","Married","more 99999"
"2068","8th Grade","Married","<20000"
"2069","8th Grade","Married","<20000"
"2070","College Grad","Married","more 99999"
"2071","College Grad","Married","more 99999"
"2072","Some College","Divorced","<20000"
"2073","Some College","Divorced","<20000"
"2074","Some College","Divorced","<20000"
"2075","8th Grade","LivePartner","55000-64999"
"2076","High School","Married","55000-64999"
"2077","College Grad","Married","more 99999"
"2078","College Grad","Married","more 99999"
"2079","College Grad","Married","more 99999"
"2080","Some College","Married","75000-99999"
"2081","High School","Married","55000-64999"
"2082","High School","NeverMarried","35000-44999"
"2083","High School","NeverMarried","35000-44999"
"2084","College Grad","Married","more 99999"
"2085","College Grad","Married","more 99999"
"2086","High School","Divorced","<20000"
"2087","College Grad","Married","35000-44999"
"2088","High School","Married","55000-64999"
"2089","College Grad","Married","75000-99999"
"2090","College Grad","Married","75000-99999"
"2091","Some College","Widowed","35000-44999"
"2092","College Grad","Married","75000-99999"
"2093","9 - 11th Grade","LivePartner","<20000"
"2094","High School","Married","25000-34999"
"2095","Some College","Married","75000-99999"
"2096","8th Grade","Married","35000-44999"
"2097","Some College","NeverMarried","20000-24999"
"2098","College Grad","Married","75000-99999"
"2099","Some College","LivePartner","more 99999"
"2100","9 - 11th Grade","Married","more 99999"
"2101","9 - 11th Grade","Married","more 99999"
"2102","8th Grade","Separated","<20000"
"2103","Some College","Married","75000-99999"
"2104","High School","Married","<20000"
"2105","High School","Married","75000-99999"
"2106","9 - 11th Grade","Married","<20000"
"2107","College Grad","NeverMarried","more 99999"
"2108","College Grad","NeverMarried","more 99999"
"2109","College Grad","NeverMarried","more 99999"
"2110","College Grad","NeverMarried","more 99999"
"2111","9 - 11th Grade","NeverMarried","20000-24999"
"2112","High School","NeverMarried","<20000"
"2113","High School","Widowed","25000-34999"
"2114","High School","Widowed","25000-34999"
"2115","Some College","Widowed","20000-24999"
"2116","9 - 11th Grade","Married","25000-34999"
"2117","Some College","Married","more 99999"
"2118","9 - 11th Grade","Married","45000-54999"
"2119","9 - 11th Grade","Married","45000-54999"
"2120","Some College","NeverMarried","45000-54999"
"2121","Some College","NeverMarried","45000-54999"
"2122","College Grad","Married","75000-99999"
"2123","Some College","Widowed","45000-54999"
"2124","9 - 11th Grade","Married","65000-74999"
"2125","9 - 11th Grade","Married","65000-74999"
"2126","9 - 11th Grade","NeverMarried","45000-54999"
"2127","College Grad","Married","more 99999"
"2128","College Grad","Married","more 99999"
"2129","High School","Widowed","20000-24999"
"2130","9 - 11th Grade","LivePartner","25000-34999"
"2131","College Grad","Married","more 99999"
"2132","College Grad","Married","more 99999"
"2133","High School","Divorced","25000-34999"
"2134","High School","Married","45000-54999"
"2135","College Grad","Married","more 99999"
"2136","Some College","Married","25000-34999"
"2137","Some College","Divorced","more 99999"
"2138","Some College","Divorced","more 99999"
"2139","Some College","Divorced","more 99999"
"2140","Some College","Divorced","more 99999"
"2141","High School","Divorced","55000-64999"
"2142","High School","Divorced","55000-64999"
"2143","9 - 11th Grade","Married","55000-64999"
"2144","Some College","Widowed","<20000"
"2145","8th Grade","Married","25000-34999"
"2146","Some College","Married","75000-99999"
"2147","Some College","NeverMarried","more 99999"
"2148","College Grad","NeverMarried","45000-54999"
"2149","College Grad","NeverMarried","45000-54999"
"2150","High School","Married","45000-54999"
"2151","College Grad","Married","more 99999"
"2152","Some College","Married","more 99999"
"2153","High School","NeverMarried","20000-24999"
"2154","Some College","Widowed","<20000"
"2155","College Grad","Married","more 99999"
"2156","College Grad","Married","more 99999"
"2157","9 - 11th Grade","Separated","more 99999"
"2158","8th Grade","Married","25000-34999"
"2159","College Grad","Married","more 99999"
"2160","High School","Married","20000-24999"
"2161","High School","Separated","65000-74999"
"2162","High School","Widowed","<20000"
"2163","College Grad","Married","75000-99999"
"2164","High School","Divorced","<20000"
"2165","Some College","Married","45000-54999"
"2166","High School","LivePartner","45000-54999"
"2167","High School","LivePartner","45000-54999"
"2168","Some College","Married","45000-54999"
"2169","High School","Divorced","<20000"
"2170","College Grad","Married","65000-74999"
"2171","College Grad","Married","65000-74999"
"2172","College Grad","Married","65000-74999"
"2173","High School","Divorced","<20000"
"2174","College Grad","Divorced","55000-64999"
"2175","College Grad","Divorced","55000-64999"
"2176","College Grad","Divorced","55000-64999"
"2177","College Grad","Divorced","55000-64999"
"2178","Some College","Divorced","<20000"
"2179","College Grad","Married","more 99999"
"2180","College Grad","Married","more 99999"
"2181","9 - 11th Grade","LivePartner","<20000"
"2182","High School","NeverMarried","25000-34999"
"2183","College Grad","Separated","65000-74999"
"2184","Some College","Married","75000-99999"
"2185","High School","Married","<20000"
"2186","8th Grade","Married","55000-64999"
"2187","High School","Married","<20000"
"2188","High School","NeverMarried","25000-34999"
"2189","College Grad","Married","75000-99999"
"2190","College Grad","Married","75000-99999"
"2191","9 - 11th Grade","Widowed","<20000"
"2192","9 - 11th Grade","Widowed","<20000"
"2193","High School","Widowed","<20000"
"2194","High School","Widowed","<20000"
"2195","High School","Married","55000-64999"
"2196","High School","Married","55000-64999"
"2197","8th Grade","Married","25000-34999"
"2198","High School","Married","45000-54999"
"2199","9 - 11th Grade","Married","35000-44999"
"2200","College Grad","Married","75000-99999"
"2201","Some College","LivePartner","25000-34999"
"2202","Some College","LivePartner","25000-34999"
"2203","High School","Married","more 99999"
"2204","High School","Married","more 99999"
"2205","College Grad","NeverMarried","75000-99999"
"2206","8th Grade","LivePartner","<20000"
"2207","9 - 11th Grade","NeverMarried","<20000"
"2208","Some College","Divorced","75000-99999"
"2209","Some College","Divorced","75000-99999"
"2210","Some College","Married","20000-24999"
"2211","High School","Married","25000-34999"
"2212","High School","Married","25000-34999"
"2213","8th Grade","Divorced","<20000"
"2214","9 - 11th Grade","Married","45000-54999"
"2215","9 - 11th Grade","NeverMarried","<20000"
"2216","College Grad","LivePartner","<20000"
